Title,Address,Editor-Notes,Category,ALPDEntry
Sponge and Brush (monthly),"Painters' State Conference of Illinois, 56 N. Cherry Street, Galesburg, Ill. W. E. Geimer, Ingleside, Ill.",Uses mats. Johnston City,General Labor (U.S.),"Sponge and Brush (monthly). Established 1920, 8 pages, $.60, circulation 2,600. Painters' State Conference of Illinois, 56 N. Cherry Street, Galesburg, Ill. W. E. Geimer, Ingleside, Ill., ed. Uses mats. Johnston City"
Williamson County Miner (semi-weekly),"204 East 7th Street, Johnston City, Ill. Robert L. Drobeck",Endorsed by United Mine Workers of America.,General Labor (U.S.),"Williamson County Miner (semi-weekly). Established 1919, 8 pages, $2, circulation 2,134. Franklin Majority Co. Inc., 204 East 7th Street, Johnston City, Ill. Robert L. Drobeck, ed. Endorsed by United Mine Workers of America."
"Commonwealth, The (weekly)","Eugene H. Koehl, pub. and ed., 104 N. Desplaines Street, Joliet, Ill. Western Newspaper Union. Uses mats. Endorsed by Central Trades Labor Counci1.",NONE,General Labor (U.S.),"Commonwealth, The (weekly). Thursdays. Established 1923, 8 pages, $2, circulation 4,133. Eugene H. Koehl, pub. and ed., 104 N. Desplaines Street, Joliet, Ill. Western Newspaper Union. Uses mats. Endorsed by Central Trades Labor Counci1."
Illinois Journal of Labor,NONE,NONE,General Labor (U.S.),"Illinois Journal of Labor. Peoria, Ill."
Peoria Labor Gazette (weekly),"Walter S. and Frank N. Bush, 225 North Adams Street, Peoria, IL
. Walter S. Bush","Offi cial organ, Central body. American Federation of Labor Weekly News, International Labor News. Quincy",General Labor (U.S.),"Peoria Labor Gazette (weekly). Fridays. Established 1896, 8 pages, $1.50. Walter S. and Frank N. Bush, 225 North Adams Street, Peoria, 11l. Walter S. Bush, ed. Offi cial organ, Central body. American Federation of Labor Weekly News, International Labor News. Quincy"
"Labor Advocate, The (weekly)","The Royal Printing Co. Inc., 120 So. Seventh Street, Quincy, Ill. Henry G. Distelhorst","Endorsed by Trades and Labor As sembly, etc. International Labor News. Uses mats.",General Labor (U.S.),"Labor Advocate, The (weekly). Fridays. Established 1912, 8-16 pages, $1, circulation 2,786. The Royal Printing Co. Inc., 120 So. Seventh Street, Quincy, Ill. Henry G. Distelhorst, ed. Endorsed by Trades and Labor As sembly, etc. International Labor News. Uses mats."
Quincy Labor News (weekly),"W. H. Hoffman, pub. and ed., 331 Hampshire Street, Quincy, Ill.","Endorsed by Trades and Labor Assembly, etc. Uses mats. Rockford",General Labor (U.S.),"Quincy Labor News (weekly). Saturdays. Established 1907, 8 pages, $1.50, circulation 2,770. W. H. Hoffman, pub. and ed., 331 Hampshire Street, Quincy, Ill. Endorsed by Trades and Labor Assembly, etc. Uses mats. Rockford"
Labor News (weekly),"Labor News Printing Co., Inc., Rockford, Ill. W. R. Madden",Rock Island,General Labor (U.S.),"Labor News (weekly). Established 1913, $1.50. Labor News Printing Co., Inc., Rockford, Ill. W. R. Madden, ed. Rock Island"
Tri-City Labor Review (weekly),"Tri-City Review Publishing Co., 311 21st Street, Rock Island, Ill. Charles Reagan",Springfield,General Labor (U.S.),"Tri-City Labor Review (weekly). Saturdays. Established 1911, 8 pages, $1.50. Tri-City Review Publishing Co., 311 21st Street, Rock Island, Ill. Charles Reagan, ed. Springfield"
"Illinois Miner, The (weekly)","District 12, United Mine Workers of America, Illinois Mine Workers Building, Springfield, Ill. Oscar Ameringer, Freda Hogan, eds.","American Federation of Labor Weekly News, Federated Press. Uses mats.",General Labor (U.S.),"Illinois Miner, The (weekly). Saturdays. Established 1922, 8 pages, $1.50, circulation 63,000. District 12, United Mine Workers of America, Illinois Mine Workers Build ing, Springfield, Ill. Oscar Ameringer, Freda Hogan, eds. American Federation of Labor Weekly News, Federated Press. Uses mats."
"Illinois Tradesman, The (weekly)","R. E. Woodmansee, pub. and ed., 2231 South 6th Street, Springfield, Ill. ","Official organ, Springfield Federation of Labor. International Labor News, Western Newspaper Union. Uses mats.",General Labor (U.S.),"Illinois Tradesman, The (weekly). Fridays. Established 1898, 8 pages, $1, circulation 3,000. R. E. Woodmansee, pub. and ed., 2231/* South 6th Street, Springfield, Ill. Offi cial organ, Springfield Federation of Labor. Interna tional Labor News, Western Newspaper Union. Uses mats."
"Labor Forum, The (weekly)","The Evansville Central Labor Union, 804 Main Street, Evansville, Ind. Fred Hohenberger",International Labor News.,General Labor (U.S.),"Labor Forum, The (weekly). Fridays. Established 1919, 4 pages, $1, circulation 2,000. The Evansville Central Labor Union, 804 Main Street, Evansville, Ind. Fred Hohenberger, ed. International Labor News."
Fort Wayne Worker (weekly),"Dehim Block, Fort Wayne, Ind.",NONE,General Labor (U.S.),"Fort Wayne Worker (weekly). Room 6, Dehim Block, Fort Wayne, Ind."
Central Labor Union News (weekly),"642 Washington Street, Gary, Ind.",NONE,General Labor (U.S.),"Central Labor Union News (weekly). 642 Washington Street, Gary, Ind."
"Union, The (fortnightly)","The Union, 474 Century Building, Indianapolis, Ind. Harry Bassett","Official organ, Central Labor Union. International Labor News. Uses mats. Union Labor News (fortnightly",General Labor (U.S.),"Union, The (fortnightly). Established 1884, 8 pages, $3, circulation 6,000. The Union, 474 Century Building, Indianapolis, Ind. Harry Bassett, ed. Official organ, Central Labor Union. International Labor News. Uses mats. Union Labor News (fortnightly). Established 1922, 8-40 pages, $3, circulation 8,000. Lowell H. and William R. Bassett, pub. and ed., 31 W. Ohio Street, Indianapolis, Ind. American Federation of Labor Weekly News. Uses mats."
Free Press (weekly),"3154 South Michigan Street, South Bend, Ind.",NONE,General Labor (U.S.),"Free Press (weekly). South Bend Typographical Union, 3154 South Michigan Street, South Bend, Ind."
Advocate (weekly),"Vigo County Central Labor Union, P. O. Box 653, Terre Haute, Ind.",NONE,General Labor (U.S.),"Advocate (weekly). Fridays. Established 1919, $1.50, circula tion 1,900. Vigo County Central Labor Union, P. O. Box 653, Terre Haute, Ind."
Boone Independent (weekly),"Boone, Iowa.",NONE,General Labor (U.S.),"Boone Independent (weekly). Boone, Iowa."
Iowa Labor News (weekly),"Mid-West Print Shop (Justice Printing & Publishing Co.), 424 N. Main St., Burlington, Iowa. Ralph J. McAnally",American Federation of Labor Weekly News.,General Labor (U.S.),"Iowa Labor News (weekly). Thursdays. Established 1919, 8 pages, $2, circulation 3,478. Mid-West Print Shop (Justice Printing & Publishing Co.), 424 N. Main St., Burlington, Iowa. Ralph J. McAnally, ed. American Federation of Labor Weekly News."
"Cedar Rapids Tribune, The (weekly)","R. G. Stewart, pub. and ed., 210 Third Avenue, Cedar Rapids, Iowa","International Labor News, Iowa State Labor Press. Official organ, Cedar Rapids Federation of Labor, Building Trades Council.",General Labor (U.S.),"Cedar Rapids Tribune, The (weekly). Fridays. Established 1904, $1.50, circulation 4,385. R. G. Stewart, pub. and ed., 210 Third Avenue, Cedar Rapids, Iowa Inter national Labor .News, Iowa State Labor Press. Offi cial organ, Cedar Rapids Federation of Labor, Building Trades Counci1."
Tri-City Labor Voice (fortnightly),"Peter Hofmann, pub. and ed., Clinton, Iowa. Uses mats.",NONE,General Labor (U.S.),"Tri-City Labor Voice (fortnightly). Established 1900, $.50. Peter Hofmann, pub. and ed., Clinton, Iowa. Uses mats."
"Iowa Unionist, The (weekly)","Des Moines Trades and Labor Assembly, 609 Mulberry Street, Des Moines, Iowa. L. O. Pouchot, bus. mgr.",Uses mats.,General Labor (U.S.),"Iowa Unionist, The (weekly). Thursdays. Established 1899, 8- 12 pages, $1.50, circulation 5,000. Des Moines Trades and Labor Assembly, 609^ Mulberry Street, Des Moines, Iowa. L. O. Pouchot, bus. mgr. Uses mats."
Daily American Tribune (daily),"Catholic Printing Co., Ill West 6th Street, Dubuque, Iowa.","International News Service, National Catholic Welfare Council, United Press. Uses mats.",General Labor (U.S.),"Daily American Tribune (daily) Established 1919, 8-10 pages, $6, circulation 17,350. Catholic Printing Co., Ill West 6th Street, Dubuque, Iowa. John P. Conner, Carl Nennig, Leo Doyle, Carl Ochs, eds. International News Service, National Catholic Welfare Council, United Press. Uses mats."
Leader (weekly),"J. M. Conley, pub. and ed., Main and Sixth Streets, Dubuque, Iowa.",NONE,General Labor (U.S.),"Leader (weekly). Fridays. Established 1906, 8 pages, $150, cir culation 3,000. J. M. Conley, pub. and ed., Main and Sixth Streets, Dubuque, Iowa."
Marshalltown Labor World (weekly),"John Goldwitzer, pub. and ed., 22 North Center Street, Marshalltown, Iowa.","Official organ, Trades and Labor Assembly, In ternational Labor News, American Federation of Labor Weekly News. Uses mats.",General Labor (U.S.),"Marshalltown Labor World (weekly). Thursdays. Established 1922, 8 pages, $1.50, circulation 3,600. John Goldwitzer, pub. and ed., 22 North Center Street, Marshalltown, Iowa. Official organ, Trades and Labor Assembly, In ternational Labor News, American Federation of Labor Weekly News. Uses mats."
"Union Advocate, The (weekly)","W. H. Bastion, 522-4 Nebraska Street, Sioux City, Iowa. Wallace M. Short","Official organ, Trades and Labor Assembly, In ternational Labor News. Uses mats.",General Labor (U.S.),"Union Advocate, The (weekly). Thursdays. Established 1895, . 8 pages, $2, circulation 3,250. W. H. Bastion, 522-4 Nebraska Street, Sioux City, Iowa. Wallace M. Short, ed. Official organ, Trades and Labor Assembly, In ternational Labor News. Uses mats."
Labor Bulletin (weekly),"Central Labor Union, 530 Minnesota Avenue, Kansas City, Kansas. J. A. Woulf",NONE,General Labor (U.S.),"Labor Bulletin (weekly). Fridays. Established 1918, 4-24 pages, $1, circulation 6-10,000. Central Labor Union, 530 Min nesota Avenue, Kansas City, Kansas. J. A. Woulf, ed."
"Chronicle, The (weekly)","R. E. Davis, pub. and ed., 518 Cherokee Street, Leavenworth, Kansas.",NONE,General Labor (U.S.),"Chronicle, The (weekly). Fridays. Established 1908, 4-8 pages, $1, circulation 1,200. R. E. Davis, pub. and ed., 518 Cherokee Street, Leavenworth, Kansas."
Lavoratore Italiano (fortnightly),"and ed., Pitts- burg, Kansas.",NONE,General Labor (U.S.),"Lavoratore Italiano (fortnightly). Established 1901, 4 pages, $2, circulation 2,000. Edoardo Caffaro, pub. and ed., Pitts- burg, Kansas."
Echo-Boomer (weekly),"James Chase, pub. and ed., Scam mon, Kansas. Western Newspaper Union.",NONE,General Labor (U.S.),"Echo-Boomer (weekly). Thursdays. Established 1922, 4 pages, $1, circulation 650. James Chase, pub. and ed., Scam mon, Kansas. Western Newspaper Union."
Kansas Trades Unionist (weekly),"Merit Printing Co., 625 Jackson Street, Topeka, Kansas. W. E. Bush",Endorsed by Industrial Council and State Federation of Labor. American Federation of Labor Weekly News. Farmer-Labor politics.,General Labor (U.S.),"Kansas Trades Unionist (weekly). Fridays. Established 1906, 4-8 pages, $1.50, circulation 1,000. Merit Printing Co., 625 Jackson Street, Topeka, Kansas. W. E. Bush, ed. Endorsed by Industrial Council and State Federation of Labor. American Federation of Labor Weekly News. Farmer-Labor politics."
Plaindealer (weekly),"Wichita, Kas.",NONE,General Labor (U.S.),"Plaindealer (weekly). Wichita Trades and Labor Assembly, Wichita, Kas."
Magyar Banyaszlap (weekly),"Miners Journal Publishing Co., Himlerville, Ky. Andrew Fisher",Independent radical.,General Labor (U.S.),"Magyar Banyaszlap (weekly). Thursdays. Established 1913, 8 pages, $2, circulation 14,058. Miners Journal Publish ing Co., Himlerville, Ky. Andrew Fisher, ed. Inde pendent radica1."
Labor Advocate (monthly),"W. J. Shanahan, pub. and ed., 139 North Broadway (Labor Hall), Lexington, Ky. Offi cial organ, Central Labor Union. Louisville",NONE,General Labor (U.S.),"Labor Advocate (monthly). Established 1923, 4 pages, $.50, cir culation 1,000. W. J. Shanahan, pub. and ed., 139 North Broadway (Labor Hall), Lexington, Ky. Offi cial organ, Central Labor Union. Louisville"
Journal of Labor (weekly),"Sigmond A. Lee, pub. and ed., Republic Building, Louisville, Ky.",NONE,General Labor (U.S.),"Journal of Labor (weekly). Saturdays. Established 1900, $.50. Sigmond A. Lee, pub. and ed., Republic Building, Louisville, Ky."
"Labor Union, The (weekly)","131 West Market Street, Louisville, Ky.",NONE,General Labor (U.S.),"Labor Union, The (weekly). 131 West Market Street, Louisville, Ky."
Louisville American (weekly),"Union Press Association, 609 Republic Building, Louisville, Ky. Co1. J. H. Brewer","Official organ, Railway Employees Central Body. American Federation of Labor News Services, Civil Liberties Service. Uses mats.",General Labor (U.S.),"Louisville American (weekly). Fridays. Established 1919, 4 pages, $2, circulation 3,250. Union Press Association, 609 Republic Building, Louisville, Ky. Co1. J. H. Brewer, ed. Official organ, Railway Employees Central Body. American Federation of Labor News Services, Civil Liberties Service. Uses mats."
New Era (weekly),"H. M. Givan, pub. and ed., 121 South Third Street, Louisville, Ky.",NONE,General Labor (U.S.),"New Era (weekly). Saturdays. Established 1889, 4 pages, $1, circulation 1,500. H. M. Givan, pub. and ed., 121 South Third Street, Louisville, Ky."
Labor Herald (weekly),"Trades and Labor Assembly of Kenton and Campbell Counties, Newport, Ky. W. C. Benton",NONE,General Labor (U.S.),"Labor Herald (weekly). Thursdays. Established 1917, $1. Trades and Labor Assembly of Kenton and Campbell Counties, Newport, Ky. W. C. Benton, ed."
"American Vanguard, The (monthly)","The National Rip-Saw Publishing Co., Leesville, Louisiana, and Box 1128, Chicago, Ill. Kate Richards and Frank P. O'Hare, eds. Pro gressive politically.",NONE,General Labor (U.S.),"American Vanguard, The (monthly). Established 1904, 16 pages, $1, circulation 25,000. The National Rip-Saw Publishing Co., Leesville, Louisiana, and Box 1128, Chicago, Ill. Kate Richards and Frank P. O'Hare, eds. Pro gressive politically."
"Federationist, The, (weekly)","Union Printing & Publish ing Co. Inc., 520 Conti Street, New Orleans, La. R. N. Stephens","Official organ, State Federation of Labor. American Federation of Labor news services. Uses mats. Independent Democratic.",General Labor (U.S.),"Federationist, The, (weekly). Fridays. Estabjished 1918, 8 pages, $2, circulation 8,498. Union Printing & Publish ing Co. Inc., 520 Conti Street, New Orleans, La. R. N. Stephens, ed. Official organ, State Federation of Labor. American Federation of Labor news services. Uses mats. Independent Democratic."
